281,,Red-eyed Vireo,Vireo olivaceus,regular,,
,,,,,,
,Shrikes,Shrikes,,,,
282,,Loggerhead Shrike,Lanius ludovicianus,rare,,
283,,Northern Shrike,Lanius borealis,regular,,
,,,,,,
,Jays and Crows,Jays and Crows,,,,
284,,Canada Jay,Perisoreus canadensis,rare,,
285,,Blue Jay,Cyanocitta cristata,regular,,
286,,Clark's Nutcracker,Nucifraga columbiana,accidental,7 records,Review
287,,Black-billed Magpie,Pica hudsonia,casual,,
288,,American Crow,Corvus brachyrhynchos,regular,,
289,,Fish Crow,Corvus ossifragus,accidental,1 record,Pending RC Acceptance
290,,Common Raven,Corvus corax,regular,,
,,,,,,
,Chickadees and Titmice,Chickadees and Titmice,,,,
291,,Black-capped Chickadee,Poecile atricapillus,regular,,
292,,Boreal Chickadee,Poecile hudsonicus,rare,,
293,,Tufted Titmouse,Baeolophus bicolor,regular,,
,,,,,,
,Larks,Larks,,,,
294,,Horned Lark,Eremophila alpestris,regular,,
,,,,,,
,Swallows,Swallows,,,,
295,,Bank Swallow,Riparia riparia,regular,,
296,,Tree Swallow,Tachycineta bicolor,regular,,
297,,Northern Rough-winged Swallow,Stelgidopteryx serripennis,regular,,
298,,Purple Martin,Progne subis,regular,,
299,,Barn Swallow,Hirundo rustica,regular,,
300,,Cliff Swallow,Petrochelidon pyrrhonota,regular,,
301,,Cave Swallow,Petrochelidon fulva,accidental,6 records,Review
,,,,,,
,Kinglets,Kinglets,,,,
302,,Ruby-crowned Kinglet,Corthylio calendula,regular,,
303,,Golden-crowned Kinglet,Regulus satrapa,regular,,
,,,,,,
,Waxwings,Waxwings,,,,
304,,Bohemian Waxwing,Bombycilla garrulus,regular,,
305,,Cedar Waxwing,Bombycilla cedrorum,regular,,
,,,,,,
,Silky-flycatchers,Silky-flycatchers,,,,
306,,Phainopepla,Phainopepla nitens,accidental,1 record,Review
,,,,,,
,Nuthatches,Nuthatches,,,,
307,,Red-breasted Nuthatch,Sitta canadensis,regular,,
